video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7050185993214823686,2022-01-06T21:02:23,30,CA,85600,894,291,6400000,PERFECTLY CUT ASMR! ☺️ #duet #asmr #satisfying #xyzbca #fy #viral #foryoupage #foryou #foru #viralvideo #2022 #relax #chill #trend,False,,davidbeck,David Beck,,,,,,True,,,
7407603305981021473,2024-08-27T02:04:23,45,US,153600,46800,1551,7500000,"ASMR : Amazing service at the Vietnamese VIP barbershop! (Shaving, massage, shampoo)  #ASMR #massage #barber #asmrbarber #asmrmassage #oddlysatisfying #satisfingsounds #satisfying ",False,,asmr_club02,ASMR_Club,,,,,,False,United States,North America,
7094298426942246149,2022-05-05T19:01:10,32,BE,267900,2381,1369,2500000,Comment dépenser 10 millions d’€ ? #riche #richesse #millionnaire #suitedeluxe,False,,capitalodyssee,Capital Odyssée ⚔️,,,,,,False,,,
7218591969532972296,2023-04-05T17:43:40,29,JP,45900,1633,6144,1000000,Make money everyday all day💰✌️✨I always win!!💰✌️✨I love Philippines🇵🇭💕✨ #フィリピン #Philippine #金儲け #最強 #日本代表 #rapper #ラッパー #金 #お金　#儲かりすぎ #makemoney #money #cash #常勝 #常勝無敗 #cash #money #peso #pesos #rich #moneytok #rapper #fashion #rappers #Japaneserap #Japaneserapper #金 #お金 #金持ち #お金持ち #社長 #businessowner #phillippinesairline #フィリピン #Philippine #philippines #philippines🇵🇭tiktok #mayaman #Mayamang #lalaki #Mayamanglalaki #taong #taongmayaman,False,,king_tomoro_6666,KING TOMORO 6666,,,,,,True,,,
7274592020621004065,2023-09-03T15:32:31,39,DE,359200,7433,1310,3400000,4 ways to get rich. #motivation #motivationalquotes #rich #successful ,False,,grind4future2,Grind4Future,,,,,,False,,,
7367175573451410730,2024-05-10T03:23:59,60,US,341300,3992,1138,4400000,i need her 🥴💕 #rizz #foryou #viral #treyrich #fyp ,False,,treyrich._,trey rich,,,,,,False,,,
7379588746057944325,2024-06-12T14:13:22,30,GY,16800,713,210,339100,#fyp #viralvideo #mmg #richforever #rickross #officialbelaire #boss ,False,,rickross_official,Rick Ross,,,,,,False,,,
7085695589559651586,2022-04-12T14:37:46,59,AE,79000,7477,1063,1600000,One of the most futuristic cars I’ve ever seen! 🤩 #supercarblondie #bmw #bmwnext100 #carsoftiktok #fyp #foryoupage,False,,supercarblondie,Supercar Blondie,,,,,,True,,,
7311772902871862536,2023-12-12T19:13:17,30,AE,2300000,60900,22200,37100000,Benefits of owning #brabus6x6 in #dubai  #shopping #brabus #gwagon #6x6truck #fashiontiktok #fashion #dubaimall #dubailife #G700 #queenofsupercars #tiktok #viralvideo #viraltiktok #tiktokdubai #tiktokindia ,False,,queenofsupercars,queenofsupercars,,,,,,False,Dubai Mall,"Downtown Dubai, Dubai,United Arab Emirates",Dubai
7115336446134766850,2022-07-01T11:39:28,45,AE,16100000,451300,128900,175800000,This is the glass floor car from the future 🤯🔥#supercarblondie #concept #futuristic #supercar #DS #conceptcar #sportscar,False,,supercarblondie,Supercar Blondie,,,,,,True,,,
7239006288925986049,2023-05-30T18:01:38,28,GE,393000,57500,9220,12300000,Lamborghini Urus 2023,False,,primeautocars,Best cars in the world 🌎,,,,,,False,,,
7006940098570784027,2021-09-12T09:06:14,40,TH,262900,34100,0,3800000,Mclaren 720s|4K edit|🎥:Hartnett Media#wallpaper #supercar #mclaren #720s #car #cars #fypシ,False,,16garage_,16 GARAGE,,,,,,False,,,
